title,address,price_eur,price_per_sqm_eur,link,rooms,area_sqm,floor
Apartament 2 camere Grand Kristal Berceni Metalurgiei Mobilat/Utilat,"Soseaua Berceni, IMGB, Sectorul 4, Bucuresti",132 000 €,2200 €/m²,/ro/oferta/apartament-2-camere-grand-kristal-berceni-metalurgiei-mobilat-utilat-IDHPQ1,2 camere,60 m²,etajul 10
Vanzare apartament 4 camere Drumul Taberei METROU Favorit,"Aleea Compozitorilor, Drumul Taberei, Sectorul 6, Bucuresti",138 000 €,"1623,53 €/m²",/ro/oferta/vanzare-apartament-4-camere-drumul-taberei-metrou-favorit-IDHxPZ,4 camere,85 m²,etajul 7
Vanzare apartament 2 camere Drumul Taberei Parc Metrou,"Aleea Valea Viilor, Drumul Taberei, Sectorul 6, Bucuresti",104 900 €,2098 €/m²,/ro/oferta/vanzare-apartament-2-camere-drumul-taberei-parc-metrou-IDHxPe,2 camere,50 m²,etajul 1
Vanzare garsoniera Drumul Taberei Favorit,"Drumul Taberei, Sectorul 6, Bucuresti",85 000 €,"2741,94 €/m²",/ro/oferta/vanzare-garsoniera-drumul-taberei-favorit-IDHDbk,1 cameră,31 m²,etajul 5
Vanzare apartament 3 camere Drumul Taberei Metrou Scoala,"Strada Raul Doamnei, Drumul Taberei, Sectorul 6, Bucuresti",125 000 €,"1785,71 €/m²",/ro/oferta/vanzare-apartament-3-camere-drumul-taberei-metrou-scoala-IDHKPR,3 camere,70 m²,etajul 6
Apartament 2 camere Dna. Ghica Teiul Doamnei Colentina Mobilat/Utilat,"Strada Ripiceni, Tei, Sectorul 2, Bucuresti",85 000 €,"2179,49 €/m²",/ro/oferta/apartament-2-camere-dna-ghica-teiul-doamnei-colentina-mobilat-utilat-IDHSpx,2 camere,39 m²,etajul 7
,"Tudor Vladimirescu, Sectorul 6, Bucuresti",67 000 €,"2093,75 €/m²",,1 cameră,32 m²,etajul 4
"Garsoniera, 24mp,centrala proprie,metrou,renovata,Palladium Residence","Drumul Gura Crivatului, Theodor Pallady, Sectorul 3, Bucuresti",65 000 €,"2774,22 €/m²",/ro/oferta/garsoniera-24mp-centrala-proprie-metrou-renovata-palladium-residence-IDHVVc,1 cameră,23.43 m²,etajul 10
"Bucureștii Noi, Chitila, Ap. 3 camere de vanzare, 13 Min Metrou Jiului","Strada Modestiei, Chitila, Sectorul 1, Bucuresti",130 000 €,"2445,91 €/m²",/ro/oferta/bucuretii-noi-chitila-ap-3-camere-de-vanzare-13-min-metrou-jiului-IDHVVa,3 camere,53.15 m²,demisol
MAI mult decat un Apartament: 188 mp si CURTE in Domenii la 10 minute,"Strada Aviator Popisteanu, Domenii, Sectorul 1, Bucuresti",395 000 €,"2323,53 €/m²",/ro/oferta/mai-mult-decat-un-apartament-188-mp-si-curte-in-domenii-la-10-minute-IDHEPv,3 camere,170 m²,etajul 1
,"Militari, Sectorul 6, Bucuresti",135 990 €,"3399,75 €/m²",,1 cameră,40 m²,etajul 6
"SUPER OFERTA! Apartament 2 camere, nou renovat,finisaje de lux,central","Rahova, Sectorul 5, Bucuresti",135 000 €,2250 €/m²,/ro/oferta/super-oferta-apartament-2-camere-nou-renovat-finisaje-de-lux-central-IDHwR0,2 camere,60 m²,etajul 8
"Apartament cu 2 camere, Sector 4 Bulevardul Metalurgiei","Metalurgiei 81c-81d, IMGB, Sectorul 4, Bucuresti",110 000 €,"1933,22 €/m²",/ro/oferta/apartament-cu-2-camere-sector-4-bulevardul-metalurgiei-IDH9di,2 camere,56.9 m²,etajul 8
"Drumul Taberei Garsoniera 31mp,strada Sibiu colt cu Bd 1 Mai!","Drumul Taberei, Sectorul 6, Bucuresti",59 990 €,"1935,16 €/m²",/ro/oferta/drumul-taberei-garsoniera-31mp-strada-sibiu-colt-cu-bd-1-mai-IDHVWL,1 cameră,31 m²,etajul 8
Apartament 2 camere - STB 330/253,"Theodor Pallady, Sectorul 3, Bucuresti",103 000 €,"1634,92 €/m²",/ro/oferta/apartament-2-camere-stb-330-253-IDHVWr,2 camere,63 m²,etajul 2
Apartament 3 camere - Pallady,"Theodor Pallady, Sectorul 3, Bucuresti",145 000 €,"1611,11 €/m²",/ro/oferta/apartament-3-camere-pallady-IDHVWl,3 camere,90 m²,etajul 3
Apartament 4 camere - zona Pallady,"Theodor Pallady, Sectorul 3, Bucuresti",148 760 €,"1293,57 €/m²",/ro/oferta/apartament-4-camere-zona-pallady-IDHVWk,4 camere,115 m²,etajul 5
Apartament 2 camere - zona Pallady,"Theodor Pallady, Sectorul 3, Bucuresti",119 835 €,"1316,87 €/m²",/ro/oferta/apartament-2-camere-zona-pallady-IDHVWi,3 camere,91 m²,etajul 3
"PROPRIETAR, Vand Apartament 2 Camere","Berceni, Sectorul 4, Bucuresti",64 000 €,"1422,22 €/m²",/ro/oferta/proprietar-vand-apartament-2-camere-IDHVWh,2 camere,45 m²,etajul 5
Apartament 2 camere - Pallady,"Theodor Pallady, Sectorul 3, Bucuresti",103 000 €,"1626,14 €/m²",/ro/oferta/apartament-2-camere-pallady-IDHVWg,2 camere,63.34 m²,etajul 3
Apartament 2 camere  - 5 min de STB,"Theodor Pallady, Sectorul 3, Bucuresti",89 000 €,"1745,10 €/m²",/ro/oferta/apartament-2-camere-5-min-de-stb-IDHVWf,2 camere,51 m²,etajul 2
Apartament 2 camere - Pallady,"Theodor Pallady, Sectorul 3, Bucuresti",109 000 €,"1671,52 €/m²",/ro/oferta/apartament-2-camere-pallady-IDHVWc,2 camere,65.21 m²,etajul 2
Apartament 2 camere - 5 min STB: 330/253,"Theodor Pallady, Sectorul 3, Bucuresti",89 000 €,"1723,47 €/m²",/ro/oferta/apartament-2-camere-5-min-stb-330-253-IDHVW9,2 camere,51.64 m²,etajul 2
Apartament 4 camere - Pallady,"Theodor Pallady, Sectorul 3, Bucuresti",175 207 €,"1394,29 €/m²",/ro/oferta/apartament-4-camere-pallady-IDHVW7,4 camere,125.66 m²,etajul 2
Apartament SemiDecomandat 2 Camere 37.50mp Strada Uioara,"Berceni, Sectorul 4, Bucuresti",59 900 €,"1597,33 €/m²",/ro/oferta/apartament-semidecomandat-2-camere-37-50mp-strada-uioara-IDHVW5,2 camere,37.5 m²,etajul 3
Vanzare Apartament cu 3 camere in Zona Mall Grand Arena Acte gata,"IMGB, Sectorul 4, Bucuresti",93 900 €,"1442,40 €/m²",/ro/oferta/vanzare-apartament-cu-3-camere-in-zona-mall-grand-arena-acte-gata-IDHVW1,3 camere,65.1 m²,etajul 2
Vanzare apartament 2 camere  decomandat Mutare imediata,"IMGB, Sectorul 4, Bucuresti",76 700 €,"1447,17 €/m²",/ro/oferta/vanzare-apartament-2-camere-decomandat-mutare-imediata-IDHVW0,2 camere,53 m²,etajul 1
Apartament cu 2 camere 58mp zona Mall Grand Arena Mutare imediata,"IMGB, Sectorul 4, Bucuresti",82 500 €,"1429,81 €/m²",/ro/oferta/apartament-cu-2-camere-58mp-zona-mall-grand-arena-mutare-imediata-IDHVUY,2 camere,57.7 m²,etajul 3
Apartament 2 camere de 65 mp zona Metrou Ap Patriei 12 min,"IMGB, Sectorul 4, Bucuresti",100 700 €,"1549,23 €/m²",/ro/oferta/apartament-2-camere-de-65-mp-zona-metrou-ap-patriei-12-min-IDHVUX,2 camere,65 m²,etajul 3
Garsoniera Decomandata 39mp Zona  Metrou Aparatorii Patriei,"IMGB, Sectorul 4, Bucuresti",63 650 €,"1632,05 €/m²",/ro/oferta/garsoniera-decomandata-39mp-zona-metrou-aparatorii-patriei-IDHVUV,1 cameră,39 m²,etajul 3
Apartament 2 Camere decomandat si loc parcare Viva Residence,"IMGB, Sectorul 4, Bucuresti",120 000 €,"2142,86 €/m²",/ro/oferta/apartament-2-camere-decomandat-si-loc-parcare-viva-residence-IDHVUU,2 camere,56 m²,etajul 1
Vanzare ap 2 camere etaj 1 Berceni Aparatorii Patriei,"Aparatorii Patriei, Sectorul 4, Bucuresti",95 500 €,"1836,54 €/m²",/ro/oferta/vanzare-ap-2-camere-etaj-1-berceni-aparatorii-patriei-IDHVUP,2 camere,52 m²,etajul 1
APARTAMENT 2 CAMERE | LACUL TEI – PARCUL CIRCULUI | COMPLET MOBILAT,"Tei, Sectorul 2, Bucuresti",107 000 €,"2736,57 €/m²",/ro/oferta/apartament-2-camere-lacul-tei-parcul-circului-complet-mobilat-IDHBiq,2 camere,39.1 m²,etajul 7
Apartament Premium 3 camere HERĂSTRĂU- Mobilat si Utilat,"Strada Epistolei, Baneasa, Sectorul 1, Bucuresti",388 000 €,"3155,75 €/m²",/ro/oferta/apartament-premium-3-camere-herstru-mobilat-si-utilat-IDHycf,3 camere,122.95 m²,parter
"Vand ap 1 cam zona Tei , UTCB, sect 2","Sectorul 2, Bucuresti",81 000 €,"1883,72 €/m²",/ro/oferta/vand-ap-1-cam-zona-tei-utcb-sect-2-IDHVUO,1 cameră,43 m²,etajul 7
Vanzare ap 2 camere Berceni Metalurgiei Lidl,"IMGB, Sectorul 4, Bucuresti",91 800 €,"1555,93 €/m²",/ro/oferta/vanzare-ap-2-camere-berceni-metalurgiei-lidl-IDHVUN,2 camere,59 m²,etajul 6
